title,score,score_phrase,platform,genre,release_year,release_month,release_day
Checkered Flag,10.0,Masterpiece,Lynx,Racing,1999,7,6
Chrono Trigger,10.0,Masterpiece,Wii,"Action, RPG",2011,5,25
Dragon Warrior III,10.0,Masterpiece,Game Boy Color,RPG,2001,7,20
Grand Theft Auto IV,10.0,Masterpiece,Xbox 360,"Action, Adventure",2008,4,25
Grand Theft Auto IV,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2008,4,25
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,Xbox 360,Action,2008,4,29
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,PlayStation 3,Action,2008,4,29
Grand Theft Auto V,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,Xbox 360,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,PlayStation 4,"Action, Adventure",2014,11,17
PDC World Championship Darts,1.0,Unbearable,PlayStation 2,Sports,2009,7,17
Revolution X,1.0,Unbearable,PlayStation,Action,1996,11,25
Revolution X,1.0,Unbearable,PlayStation,Action,1996,11,25
Self-Defense Training Camp,1.0,Unbearable,Xbox 360,Sports,2011,11,22
Step Up,1.0,Unbearable,Wii,Sports,2011,11,10
The Crow: City of Angels,1.0,Unbearable,PlayStation,Action,1997,3,11
The Simpsons Wrestling,1.0,Unbearable,PlayStation,Action,2001,4,6
Action Girlz Racing,0.8,Disaster,Wii,Racing,2009,2,11
Extreme PaintBrawl,0.7,Disaster,PC,Action,1998,10,29
Looney Tunes: Back in Action: Zany Race,0.5,Disaster,Wireless,Racing,2003,10,28
